model,version,K,HR@K,NDCG@K
popularity,v0.1,10,0.12101910828025478,0.06396636969073557
itemcf,v0.1,10,0.2302771855010661,0.12750108781223773
als,v0.2,10,0.015991471215351813,0.007525516407467576
