model,k,HR@K,NDCG@K,train_seconds,model_size_MB,p50_ms,p95_ms
ncf,10,0.13725165562913907,0.06685163005189132,376.4692871570587,5.28,0.03554098657332361,0.04944730462739241
als,10,0.09884105960264901,0.04895005937591766,3.080286979675293,2.58,0.0635834876447916,0.07358605071203783
itemcf,10,0.07533112582781457,0.04011580792990283,6.231078863143921,90.52,0.02145799226127565,0.028419058071449396
popularity,10,0.04370860927152318,0.022321808520540696,1.1182470321655273,0.01,8.300412446260452e-05,0.00012500095181167126
