movie-recommender  | INFO:     142.250.72.187:33615 - "GET /recommend/150?k=5 HTTP/1.1" 500 Internal Server Error
movie-recommender  | INFO:     142.250.72.187:35555 - "GET /recommend/160?k=5 HTTP/1.1" 500 Internal Server Error
movie-recommender  | INFO:     142.250.72.187:19119 - "GET /recommend/170?k=5 HTTP/1.1" 500 Internal Server Error
movie-recommender  | INFO:     142.250.72.187:19642 - "GET /recommend/180?k=5 HTTP/1.1" 500 Internal Server Error
movie-recommender  | INFO:     142.250.72.187:28218 - "GET /recommend/190?k=5 HTTP/1.1" 500 Internal Server Error
movie-recommender  | INFO:     142.250.72.187:57086 - "GET /recommend/200?k=5 HTTP/1.1" 500 Internal Server Error
movie-recommender  | INFO:     142.250.72.187:46494 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:45516 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:60726 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     142.250.72.187:24425 - "GET /healthz HTTP/1.1" 200 OK
movie-recommender  | INFO:     142.250.72.187:24023 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:40236 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:36326 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:35678 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:43050 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:56380 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:47618 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:35916 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:46812 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:54086 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:40818 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:59574 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:41504 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:41708 - "GET /metrics HTTP/1.1" 200 OK
